Year;Country;Automation & Control Systems;Computer Science, Artificial Intelligence;Computer Science, Information Systems;Computer Science, Interdisciplinary Applications;Computer Science, Theory & Methods;Engineering, Electrical & Electronic;Engineering, Multidisciplinary;Environmental Sciences;Instruments & Instrumentation;Neurosciences;AI_publications
2018;Iran;549;794;505;762;308;2880;1040;1842;602;396;1196
1980;Italy;5;1;24;27;23;155;37;111;69;193;0
1981;Italy;21;3;18;31;25;193;20;113;81;287;0
1982;Italy;23;3;28;38;23;189;19;112;65;322;0
1983;Italy;24;5;30;48;28;215;27;137;116;382;0
1984;Italy;31;3;38;36;45;206;33;166;106;356;1
1985;Italy;28;13;27;49;57;282;45;127;126;390;3
1986;Italy;53;8;61;44;71;217;36;156;98;450;4
1987;Italy;35;12;29;55;104;246;45;178;166;436;5
1988;Italy;57;11;54;84;124;281;37;191;167;506;6
1989;Italy;43;23;47;77;178;354;59;237;239;533;9
1990;Italy;71;31;71;121;132;363;57;211;247;622;16
1991;Italy;82;84;66;86;226;444;56;270;242;694;53
1992;Italy;79;64;104;97;221;563;70;326;369;753;61
1993;Italy;61;79;98;143;128;624;67;283;318;703;57
1994;Italy;72;93;127;169;167;758;86;389;399;822;76
1995;Italy;86;232;97;154;256;847;94;358;502;1002;123
1996;Italy;133;185;100;169;197;912;77;385;503;1161;140
1997;Italy;137;218;173;201;316;922;109;443;432;1219;137
1998;Italy;155;241;197;276;365;1024;110;569;469;1260;171
1999;Italy;176;239;165;222;410;1117;112;490;443;1340;137
2000;Italy;182;272;209;235;453;1169;150;494;498;1320;132
2001;Italy;182;247;197;246;392;1184;140;628;578;1342;142
2002;Italy;194;455;236;266;532;1271;154;682;539;1302;207
2003;Italy;223;601;336;415;901;1346;165;745;603;1633;209
2004;Italy;229;555;487;366;994;1379;133;841;742;1470;212
2005;Italy;206;700;471;457;1164;1394;131;808;580;1479;188
2006;Italy;251;682;441;422;907;1625;207;993;773;1583;230
2007;Italy;254;299;233;407;310;1594;181;1027;881;1507;227
2008;Italy;295;283;304;404;328;1720;199;1083;797;1751;220
2009;Italy;303;298;284;460;326;1751;223;1158;732;1629;231
2010;Italy;305;323;327;444;327;1744;263;1218;823;1888;223
2011;Italy;343;375;352;536;352;1803;246;1391;777;1966;218
2012;Italy;344;409;395;557;350;1912;350;1382;820;1893;220
2013;Italy;419;516;543;640;447;2128;374;1569;1031;1984;249
2014;Italy;405;593;539;656;498;2177;345;1896;952;1963;239
2015;Italy;431;643;634;749;559;2409;471;2172;914;2216;290
2016;Italy;449;712;738;716;539;2470;512;2434;1190;2097;330
2017;Italy;559;728;821;809;640;2432;602;2515;1097;2226;359
2018;Italy;528;685;863;752;560;2621;622;2971;1209;2152;436
1980;Japan;53;11;32;28;42;901;58;200;214;371;2
1981;Japan;64;13;42;35;45;1060;96;198;247;425;2
1982;Japan;51;11;41;47;57;1018;79;228;258;482;0
1983;Japan;78;19;45;60;81;1225;90;269;271;515;2
1984;Japan;58;20;34;65;64;1307;84;235;254;599;7
1985;Japan;62;16;20;71;74;1493;78;264;268;708;2
1986;Japan;76;13;47;82;124;1344;83;357;281;766;12
1987;Japan;81;11;46;108;84;1576;94;338;304;930;14
1988;Japan;143;24;81;87;120;1389;87;355;360;938;17
1989;Japan;100;17;33;66;125;1515;73;346;636;1008;22
1990;Japan;64;22;41;103;131;1624;123;390;445;1111;42
1991;Japan;82;54;37;107;192;2133;123;507;468;1283;79
1992;Japan;106;69;432;160;233;2224;110;526;499;1436;156
1993;Japan;77;80;457;183;127;2229;123;516;738;1625;150
1994;Japan;79;94;572;222;313;3035;141;521;533;1700;217
1995;Japan;91;163;541;193;352;3088;110;490;665;1891;242
1996;Japan;195;226;586;197;311;3350;122;727;696;2274;245
1997;Japan;158;218;448;241;259;3205;129;649;638;2303;216
1998;Japan;151;307;533;250;309;3220;133;781;837;2551;215
1999;Japan;204;398;519;219;343;3563;141;622;724;2493;235
2000;Japan;174;321;586;268;483;3080;168;672;907;2641;218
2001;Japan;161;300;551;264;414;3328;186;848;1009;2603;197
2002;Japan;150;360;605;259;484;3054;178;841;772;2506;226
2003;Japan;170;646;698;328;739;3283;180;859;1019;2539;255
2004;Japan;191;805;1030;451;926;3137;207;911;974;2594;274
2005;Japan;151;966;1039;322;957;3486;190;1009;976;2450;256
2006;Japan;193;935;907;449;904;3254;218;1055;976;2325;271
2007;Japan;183;301;624;296;170;3353;255;1063;875;2340;214
2008;Japan;168;326;706;286;151;3037;207;1139;794;2338;204
2009;Japan;235;438;669;296;198;3235;258;1214;883;2297;233
2010;Japan;174;320;611;297;191;2924;324;1142;825;2171;158
2011;Japan;175;378;597;333;213;3171;270;1312;928;2208;219
2012;Japan;182;365;600;309;238;2993;263;1241;789;2143;160
2013;Japan;184;364;706;344;227;3102;223;1307;945;2172;187
2014;Japan;211;381;679;339;270;2957;291;1343;968;2190;182
2015;Japan;258;542;794;347;336;3161;409;1450;830;2107;242
2016;Japan;280;577;832;367;342;3230;390;1562;1010;1950;262
2017;Japan;269;488;930;362;333;3301;372;1540;932;2073;355
2018;Japan;297;501;985;413;328;3344;429;1944;1068;2170;510
1980;Netherlands;23;2;25;17;25;102;58;67;60;132;0
1981;Netherlands;14;9;30;27;29;123;26;109;51;159;0
1982;Netherlands;25;1;26;34;39;97;22;71;58;187;1
1983;Netherlands;23;7;30;31;34;138;24;80;78;205;0
1984;Netherlands;27;3;20;43;47;106;31;109;90;228;0
1985;Netherlands;28;5;27;41;42;151;40;165;78;188;0
1986;Netherlands;38;6;36;38;58;140;60;149;77;245;0
1987;Netherlands;19;5;37;59;93;150;57;123;112;249;2
1988;Netherlands;36;6;56;66;88;190;50;158;90;245;6
1989;Netherlands;31;11;45;63;125;214;47;168;121;292;10
1990;Netherlands;36;22;59;63;135;235;62;201;171;324;15
1991;Netherlands;42;37;52;87;198;264;47;244;147;348;37
1992;Netherlands;54;52;113;104;167;321;55;253;181;357;32
1993;Netherlands;58;46;116;109;109;285;52;298;150;373;42
1994;Netherlands;72;68;123;130;151;406;49;385;205;422;39
1995;Netherlands;64;79;71;111;164;347;59;358;193;495;34
1996;Netherlands;75;85;77;142;176;333;74;357;195;533;52
1997;Netherlands;76;122;117;141;202;382;62;406;208;511;53
1998;Netherlands;71;109;112;175;194;370;76;504;203;574;43
1999;Netherlands;89;138;112;146;214;373;61;400;215;518;64
2000;Netherlands;98;154;148;155;276;430;66;399;214;582;65
2001;Netherlands;81;149;113;131;192;410;61;399;199;576;58
2002;Netherlands;97;260;165;133;294;416;76;464;205;704;51
2003;Netherlands;85;308;190;209;466;456;66;424;183;721;56
2004;Netherlands;86;266;205;212;526;462;71;494;198;717;50
2005;Netherlands;72;303;243;228;598;484;76;556;183;850;50
2006;Netherlands;78;317;268;259;528;452;101;594;204;908;57
2007;Netherlands;77;124;157;228;107;496;84;696;163;889;61
2008;Netherlands;102;124;191;233;138;580;104;667;176;938;47
2009;Netherlands;117;160;182;279;137;607;132;758;208;1000;63
2010;Netherlands;115;156;192;265;150;617;97;857;212;1142;52
2011;Netherlands;139;188;177;307;176;643;106;888;209;1166;71
2012;Netherlands;131;203;181;296;176;681;122;942;245;1286;60
2013;Netherlands;160;244;219;374;178;669;132;1143;227;1267;78
2014;Netherlands;175;244;217;383;160;704;124;1333;190;1490;57
2015;Netherlands;143;244;276;367;230;768;150;1280;223;1478;78
2016;Netherlands;188;302;289;431;220;719;148;1452;260;1413;96
2017;Netherlands;198;241;270;376;250;706;153;1451;245;1504;130
2018;Netherlands;190;217;239;370;212;812;145;1810;257;1508;176
1980;Poland;7;1;11;10;8;60;24;23;20;72;0
1981;Poland;14;0;22;9;21;77;29;14;31;75;1
1982;Poland;16;0;18;4;25;65;16;16;30;59;0
1983;Poland;14;8;14;12;34;67;25;49;31;63;1
1984;Poland;30;3;24;19;40;98;24;28;27;62;0
1985;Poland;32;4;24;16;58;82;20;36;22;61;1
1986;Poland;50;7;34;17;48;80;19;39;37;87;1
1987;Poland;42;4;29;24;42;86;30;34;43;67;0
1988;Poland;51;5;32;23;48;104;26;39;24;70;1
1989;Poland;29;4;14;29;41;114;31;53;41;101;2
1990;Poland;40;7;24;33;42;101;35;65;45;98;2
1991;Poland;19;10;14;39;48;90;31;77;32;96;10
1992;Poland;25;5;25;46;46;119;29;73;77;108;12
1993;Poland;19;8;20;27;29;131;36;78;68;97;13
1994;Poland;27;8;15;68;31;192;27;94;92;133;14
1995;Poland;19;19;13;80;39;168;32;80;93;184;20
1996;Poland;18;15;17;54;34;162;32;100;110;202;23
1997;Poland;30;30;22;50;62;159;40;120;98;187;39
1998;Poland;38;33;25;110;64;202;36;122;116;175;29
1999;Poland;50;43;21;64;73;155;40;154;138;239;38
2000;Poland;67;38;27;113;71;226;51;177;126;213;48
2001;Poland;40;56;23;74;101;276;56;199;130;206;54
2002;Poland;58;132;36;71;187;219;41;297;118;208;56
2003;Poland;64;117;70;134;205;204;62;284;154;245;53
2004;Poland;73;358;121;146;412;309;70;340;150;221;105
2005;Poland;84;281;108;129;299;233;56;320;191;296;77
2006;Poland;81;339;127;147;371;272;94;367;186;328;95
2007;Poland;108;84;40;136;67;615;124;407;211;244;71
2008;Poland;101;100;41;107;79;934;144;581;199;260;89
2009;Poland;106;121;48;138;69;912;146;732;199;270;115
2010;Poland;141;142;47;124;91;1323;166;709;229;277;110
2011;Poland;76;128;47;187;83;1098;180;816;230;323;106
2012;Poland;101;186;89;175;124;1357;217;802;243;297;116
2013;Poland;194;232;143;215;159;432;263;1002;294;393;113
2014;Poland;161;315;144;231;184;578;270;1066;275;354;141
2015;Poland;181;436;148;261;196;679;376;1258;316;427;153
2016;Poland;185;343;189;235;233;765;395;1473;416;436;164
2017;Poland;186;438;189;263;259;681;476;1371;396;446;189
2018;Poland;207;386;199;250;245;1184;411;1833;420;436;264
1980;Russia;0;0;0;0;0;0;0;0;0;0;0
1981;Russia;0;0;0;0;0;0;0;0;0;0;0
1982;Russia;0;0;0;0;0;0;0;0;0;0;0
1983;Russia;0;1;0;0;0;0;0;0;0;0;0
1984;Russia;0;0;0;0;0;0;0;0;0;0;0
1985;Russia;0;0;0;0;0;0;0;0;0;0;0
1986;Russia;0;0;0;0;1;0;0;0;0;0;0
1987;Russia;0;0;0;0;0;0;0;0;0;0;0
1988;Russia;0;0;0;0;0;0;1;0;1;0;0
1989;Russia;0;0;0;0;0;11;16;1;36;0;0
1990;Russia;20;0;0;0;0;12;0;0;0;1;0
1991;Russia;19;2;0;16;4;8;0;0;99;1;1
1992;Russia;118;10;66;13;29;122;141;7;394;62;5
1993;Russia;169;79;124;35;83;434;216;88;758;196;10
1994;Russia;185;81;11;46;96;504;323;106;748;215;17
1995;Russia;176;112;13;63;122;658;297;147;904;241;22
1996;Russia;181;117;15;55;121;547;316;131;869;241;14
1997;Russia;216;161;9;68;158;776;341;129;844;211;37
1998;Russia;223;112;16;78;156;547;325;113;940;197;25
1999;Russia;225;139;9;83;194;633;355;115;811;250;48
2000;Russia;237;133;10;84;156;596;323;142;942;240;27
2001;Russia;216;118;9;79;186;596;289;150;716;222;27
2002;Russia;235;145;15;68;170;541;302;175;691;231;47
2003;Russia;193;161;12;103;292;567;289;175;715;216;46
2004;Russia;173;153;15;96;181;519;303;159;654;179;33
2005;Russia;176;161;12;84;276;510;237;153;663;214;53
2006;Russia;143;135;15;52;238;416;346;145;631;206;30
2007;Russia;200;117;11;68;137;522;378;174;725;224;40
2008;Russia;202;120;8;47;158;541;426;174;707;220;33
2009;Russia;195;108;11;66;145;507;501;188;823;234;48
2010;Russia;246;99;11;54;145;428;467;182;747;216;32
2011;Russia;233;99;10;58;147;528;481;223;754;204;36
2012;Russia;208;93;22;89;134;642;476;197;736;216;38
2013;Russia;217;111;15;110;140;663;467;220;770;242;47
2014;Russia;241;125;30;128;154;701;557;294;886;255;48
2015;Russia;349;155;75;143;170;859;548;348;900;325;77
2016;Russia;370;171;81;174;217;994;604;388;932;372;109
2017;Russia;408;202;86;195;251;1006;597;461;993;382;142
2018;Russia;396;199;116;210;220;1169;616;533;901;395;198
1980;South Korea;3;0;0;0;1;8;0;1;3;1;0
1981;South Korea;7;0;0;0;1;13;3;4;2;1;0
1982;South Korea;4;0;0;0;4;10;1;3;5;1;0
1983;South Korea;5;1;0;1;2;23;1;2;0;1;0
1984;South Korea;5;2;0;3;1;19;2;3;8;2;0
1985;South Korea;7;1;3;6;5;28;0;2;4;0;0
1986;South Korea;7;1;6;6;6;27;3;8;2;0;0
1987;South Korea;8;2;3;9;6;47;3;6;13;0;0
1988;South Korea;17;2;3;12;3;60;10;8;9;5;1
1989;South Korea;14;4;7;16;5;97;14;6;15;2;1
1990;South Korea;11;5;15;17;9;97;12;13;10;8;3
1991;South Korea;12;8;16;35;9;143;11;22;28;8;12
1992;South Korea;12;24;31;40;16;171;11;28;19;13;24
1993;South Korea;16;20;34;40;30;209;14;26;40;18;38
1994;South Korea;36;45;38;66;43;299;36;41;54;31;46
1995;South Korea;29;59;42;45;57;445;35;54;54;54;59
1996;South Korea;78;94;76;99;67;606;54;91;97;65;84
1997;South Korea;83;102;82;151;79;786;52;128;101;90;84
1998;South Korea;109;117;114;113;88;952;64;124;139;137;90
1999;South Korea;128;112;121;78;111;1167;71;141;134;171;99
2000;South Korea;128;134;169;117;144;1083;85;172;150;242;118
2001;South Korea;162;139;197;133;199;1265;107;308;237;274;112
2002;South Korea;146;303;337;161;317;1347;108;366;200;266;126
2003;South Korea;156;465;650;266;852;1713;112;381;231;336;135
2004;South Korea;199;634;1087;280;1495;1784;116;483;264;392;218
2005;South Korea;185;1228;1112;460;1827;2143;254;443;365;431;259
2006;South Korea;286;1404;1065;416;1753;2054;135;487;339;435;289
2007;South Korea;179;205;357;265;113;2247;154;579;443;480;165
2008;South Korea;218;256;440;239;145;2715;191;663;470;543;176
2009;South Korea;276;335;508;291;175;3126;207;746;468;550;214
2010;South Korea;281;312;594;300;159;3169;242;725;553;670;168
2011;South Korea;247;394;636;318;205;3379;338;859;679;654;185
2012;South Korea;269;440;733;368;250;3520;410;881;635;811;215
2013;South Korea;270;339;875;370;310;3342;280;1001;682;765;194
2014;South Korea;340;427;1006;366;417;3487;326;1150;773;804;231
2015;South Korea;384;395;1201;412;468;3915;445;1287;949;888;309
2016;South Korea;376;394;1189;440;565;4055;387;1489;1056;874;315
2017;South Korea;417;449;1245;484;558;4127;364;1647;1105;899;459
2018;South Korea;466;525;1488;583;455;4618;447;2313;1431;905;840
1980;Spain;1;0;3;1;5;35;2;18;4;41;0
1981;Spain;1;0;1;4;6;35;6;10;8;37;0
1982;Spain;0;0;4;7;5;29;4;17;5;54;1
1983;Spain;3;1;5;10;9;32;2;16;11;60;0
1984;Spain;6;0;3;15;14;35;5;23;22;73;0
1985;Spain;4;1;3;26;17;41;0;43;13;84;0
1986;Spain;7;1;9;39;26;56;11;67;23;110;1
1987;Spain;9;3;8;36;21;55;6;82;34;121;2
1988;Spain;5;1;2;44;26;62;10;88;23;156;3
1989;Spain;16;2;12;49;50;60;16;133;39;180;6
1990;Spain;11;5;4;41;37;73;17;142;68;224;3
1991;Spain;10;7;15;42;119;107;20;168;49;260;26
1992;Spain;17;22;39;54;80;163;19;218;92;327;28
1993;Spain;16;27;49;46;58;221;27;256;119;398;34
1994;Spain;21;43;53;84;46;280;33;276;112;419;32
1995;Spain;34;140;32;91;161;286;46;328;142;501;70
1996;Spain;32;68;36;105;79;303;46;338;132;528;53
1997;Spain;54;182;39;167;191;394;55;383;142;615;109
1998;Spain;49;153;65;140;143;441;57;389;141;653;88
1999;Spain;71;204;61;171;290;538;69;456;149;672;114
2000;Spain;67;246;86;142;263;509;90;492;173;670;86
2001;Spain;66;298;111;176;292;609;84;500;195;694;122
2002;Spain;89;523;150;176;349;632;88;532;185;773;131
2003;Spain;117;779;254;410;976;692;76;604;221;782;152
2004;Spain;96;701;404;361;1048;797;115;695;250;765;159
2005;Spain;101;883;374;360;1182;889;106;767;259;908;198
2006;Spain;154;864;418;362;1025;962;187;992;335;867;218
2007;Spain;190;377;211;399;245;1124;221;1153;377;912;178
2008;Spain;247;421;271;442;269;1228;264;1251;386;976;185
2009;Spain;267;468;361;564;286;1476;294;1369;469;950;205
2010;Spain;275;547;390;571;342;1530;353;1441;482;1139;232
2011;Spain;317;676;407;681;372;1834;399;1714;523;1095;271
2012;Spain;295;941;535;703;436;2044;409;1823;575;1100;279
2013;Spain;377;910;659;965;518;2081;450;1984;636;1211;329
2014;Spain;368;857;669;850;564;1979;424;2154;626;1218;268
2015;Spain;313;986;704;829;560;2052;500;2187;638;1257;327
2016;Spain;332;983;712;807;538;2120;489;2590;825;1265;327
2017;Spain;376;905;725;774;605;2138;524;2615;795;1322;359
2018;Spain;410;951;818;856;540;2414;561;3323;951;1337;469
1980;Sweden;6;1;8;14;0;43;9;67;29;192;0
1981;Sweden;11;0;8;13;1;51;9;64;52;213;0
1982;Sweden;10;0;9;22;7;38;10;65;50;273;0
1983;Sweden;2;2;6;23;5;49;19;104;36;283;0
1984;Sweden;10;4;8;20;13;57;21;122;57;306;1
1985;Sweden;21;2;2;20;17;77;19;145;47;316;0
1986;Sweden;11;1;7;27;19;67;22;137;47;348;1
1987;Sweden;13;6;10;26;17;73;15;136;71;326;1
1988;Sweden;8;5;7;30;22;99;20;186;60;351;0
1989;Sweden;22;15;14;39;50;107;20;204;80;360;3
1990;Sweden;14;14;11;27;51;122;30;183;79;413;3
1991;Sweden;21;13;21;57;85;127;23;209;61;445;13
1992;Sweden;25;39;46;53;78;154;25;254;79;431;10
1993;Sweden;19;20;38;51;37;202;38;225;96;468;14
1994;Sweden;52;39;34;70;59;243;31;298;130;512;8
1995;Sweden;51;32;19;55;71;267;35;381;147;566;20
1996;Sweden;50;53;40;55;67;301;35;335;141;563;18
1997;Sweden;32;50;44;73;71;284;48;289;142;595;22
1998;Sweden;67;67;43;63;115;311;53;424;123;658;35
1999;Sweden;68;56;58;87;131;383;42;363;147;653;31
2000;Sweden;73;94;61;60;131;349;42;363;135;610;38
2001;Sweden;70;67;48;74;83;392;68;411;180;573;38
2002;Sweden;78;112;98;81;160;420;56;424;164;583;33
2003;Sweden;66;157;80;164;246;343;48;427;147;589;28
2004;Sweden;66;120;99;104;248;352;77;503;157;578;32
2005;Sweden;67;164;85;109;294;409;65;573;138;609;27
2006;Sweden;69;150;95;133;217;427;86;594;185;557;30
2007;Sweden;73;67;61;91;67;457;72;655;171;603;24
2008;Sweden;78;69;72;109;66;457;88;583;144;597;13
2009;Sweden;93;60;78;124;73;489;58;606;135;578;25
2010;Sweden;99;68;84;117;58;513;79;671;172;626;16
2011;Sweden;85;76;107;142;63;572;76;723;165;653;20
2012;Sweden;109;66;102;148;78;680;86;761;189;618;17
2013;Sweden;123;104;147;175;89;696;95;878;207;737;21
2014;Sweden;160;106;166;217;101;771;109;977;242;675;25
2015;Sweden;152;134;222;220;117;809;134;1083;209;786;24
2016;Sweden;155;162;253;239;153;868;143;1171;246;859;35
2017;Sweden;196;139;302;252;208;863;122;1239;201;837;22
2018;Sweden;170;121;336;260;141;866;152;1412;241;862;52
1980;Switzerland;6;0;10;13;14;185;8;33;82;129;0
1981;Switzerland;7;1;10;26;9;212;10;31;69;129;0
1982;Switzerland;3;0;13;12;8;128;28;32;75;166;0
1983;Switzerland;5;1;12;17;16;246;29;45;93;185;0
1984;Switzerland;6;3;9;12;13;158;25;56;97;181;1
1985;Switzerland;8;0;11;20;21;217;52;55;100;189;0
1986;Switzerland;8;0;18;33;25;134;26;59;102;195;0
1987;Switzerland;6;1;16;24;30;133;34;73;99;184;1
1988;Switzerland;11;4;18;30;26;126;26;67;101;189;1
1989;Switzerland;10;7;23;51;29;148;28;89;137;220;4
1990;Switzerland;11;5;14;30;47;141;43;104;190;220;4
1991;Switzerland;4;9;25;41;55;198;26;90;121;225;10
1992;Switzerland;18;20;43;43;63;188;13;130;194;288;21
1993;Switzerland;18;19;43;49;44;180;21;130;164;273;13
1994;Switzerland;13;24;59;71;61;242;21;147;282;310;17
1995;Switzerland;20;44;45;70;69;293;29;168;238;363;40
1996;Switzerland;26;37;38;56;58;289;30;167;258;414;29
1997;Switzerland;22;84;58;72;115;287;21;218;252;422;36
1998;Switzerland;24;78;64;97;128;339;34;234;244;483;34
1999;Switzerland;33;73;57;70;133;387;25;244;235;511;31
2000;Switzerland;44;80;105;100;188;426;34;256;281;479;23
2001;Switzerland;29;100;64;89;124;339;32;311;244;491;38
2002;Switzerland;28;132;67;82;161;400;34;262;263;509;33
2003;Switzerland;40;204;138;127;348;379;43;310;305;522;33
2004;Switzerland;34;185;135;103;348;443;28;348;326;559;28
2005;Switzerland;48;224;180;127;444;435;49;440;304;575;51
2006;Switzerland;54;217;199;182;367;586;49;469;353;601;38
2007;Switzerland;58;101;115;143;82;479;45;559;346;642;51
2008;Switzerland;63;96;117;130;97;570;52;554;310;693;43
2009;Switzerland;67;104;101;152;100;530;56;565;327;721;59
2010;Switzerland;82;111;137;172;105;547;62;671;371;762;60
2011;Switzerland;65;119;137;193;83;592;46;707;380;801;57
2012;Switzerland;78;136;140;188;109;625;58;761;344;784;53
2013;Switzerland;89;162;194;224;144;681;69;795;462;950;61
2014;Switzerland;115;207;267;233;169;759;67;958;457;1013;63
2015;Switzerland;98;157;262;278;145;660;82;1065;430;981;83
2016;Switzerland;112;193;220;259;173;758;84;1095;531;1016;73
2017;Switzerland;111;186;226;283;181;737;89;1143;421;1045;104
2018;Switzerland;89;169;257;271;172;882;92;1335;440;1053;190
1980;USA;341;81;629;505;420;3711;1096;2439;1239;3669;4
1981;USA;331;77;622;570;544;4659;868;2380;1506;3905;2
1982;USA;354;90;702;473;641;4250;839;2593;1604;4174;2
1983;USA;386;136;684;585;654;5280;1327;2722;1407;4279;11
1984;USA;334;143;717;664;777;4469;1608;2910;1467;4560;22
1985;USA;402;159;721;785;795;5432;1394;2901;1827;4923;40
1986;USA;472;157;702;906;938;4539;1278;2802;1701;5122;62
1987;USA;555;233;755;911;874;4963;1270;2942;1829;5258;91
1988;USA;527;266;775;1308;1146;5483;1343;2851;1840;5813;127
1989;USA;692;313;804;1270;1226;5921;1254;3163;2098;6021;166
1990;USA;573;389;818;1369;1443;5674;1236;3338;2250;6362;235
1991;USA;634;654;932;1381;1683;6492;1214;3348;2035;6865;491
1992;USA;633;796;1124;1467;1864;6467;1328;3516;2076;7068;660
1993;USA;585;848;1257;1528;1470;7036;1306;3875;1927;7114;637
1994;USA;680;877;1614;1910;1597;7344;1382;4148;2059;7522;797
1995;USA;787;1229;1295;1728;1802;8113;1403;4363;2445;8070;870
1996;USA;939;1316;1314;1790;1717;8097;1342;4585;2073;9273;930
1997;USA;937;1454;1526;1958;1984;8232;1298;4363;2048;8944;882
1998;USA;926;1336;1671;1987;2206;8045;1429;4611;1997;9559;903
1999;USA;916;1480;1721;2000;2156;8045;1283;4756;2112;9562;890
2000;USA;951;1581;1897;2085;2466;7861;1455;4951;1942;9447;891
2001;USA;889;1458;2027;1922;2072;7785;1330;4962;2066;9049;862
2002;USA;968;1905;2038;1933;2733;7733;1269;5111;1913;9450;786
2003;USA;971;2251;2404;2413;3932;8466;1307;5496;2102;9956;825
2004;USA;968;2244;2686;2582;4376;8449;1346;5670;2182;10329;859
2005;USA;877;2645;3242;2830;4985;9154;1290;6014;2409;10527;914
2006;USA;958;2579;3122;3020;4139;9220;1249;6568;2427;10765;942
2007;USA;960;1545;2478;2705;1628;9306;1148;7053;2584;10843;932
2008;USA;1032;1557;2433;2677;1565;9085;1402;7196;2337;10971;922
2009;USA;1086;1600;2511;2840;1590;9078;1324;7404;2117;11212;939
2010;USA;1098;1536;2541;2790;1514;8753;1490;7579;2339;11548;869
2011;USA;1071;1733;2725;3098;1584;9494;1393;8605;2590;12194;941
2012;USA;1072;1837;2784;3115;1669;9471;1465;8616;2440;12155;955
2013;USA;1407;2050;3255;3543;1921;10451;1517;9766;2510;12756;1027
2014;USA;1382;2338;3492;3610;2066;10420;1683;10482;2552;12798;1054
2015;USA;1554;2343;3680;3739;2023;10895;2092;10719;2689;13187;1242
2016;USA;1600;2718;3868;3870;2318;10827;2015;11920;2959;13324;1461
2017;USA;1839;2590;4076;4064;2389;11546;2117;12049;2857;13588;1721
2018;USA;1868;2525;4740;4243;2201;12324;2135;13375;3248;13142;2637
