G01N;G05B;G06F;G06K;G06N;G06Q;G06T;G10L;H04L;H04N
14267,34646;3483,98203;34931,77906;5214,080814;529,2514284;15000,92519;7182,462823;2400,271754;10397,26113;40291,85454
14354,1275;3503,377931;35103,70551;5244,572042;534,9064954;15089,26605;7209,338656;2407,945654;10492,38259;40359,89331
14440,90854;3522,773832;35275,63197;5275,06327;540,5615623;15177,60692;7236,214488;2415,619554;10587,50405;40427,93208
14527,68959;3542,169733;35447,55842;5305,554499;546,2166292;15265,94778;7263,09032;2423,293454;10682,62551;40495,97084
14614,47063;3561,565635;35619,48488;5336,045727;551,8716962;15354,28864;7289,966152;2430,967353;10777,74697;40564,00961
14701,25167;3580,961536;35791,41133;5366,536955;557,5267631;15442,6295;7316,841984;2438,641253;10872,86843;40632,04838
14788,03272;3600,357437;35963,33779;5397,028184;563,18183;15530,97036;7343,717816;2446,315153;10967,98989;40700,08715
14874,81376;3619,753338;36135,26424;5427,519412;568,836897;15619,31122;7370,593648;2453,989053;11063,11135;40768,12591
1571,854144;343,0385442;3048,746186;548,1911717;99,33703451;1567,970958;476,9283685;136,6324506;1686,955231;1232,230823
1658,635188;362,4344453;3220,672642;578,6824;104,9921014;1656,31182;503,8042005;144,3063504;1782,076691;1300,26959
1745,416232;381,8303465;3392,599098;609,1736283;110,6471684;1744,652682;530,6800326;151,9802501;1877,198152;1368,308358
1832,197275;401,2262476;3564,525553;639,6648567;116,3022353;1832,993543;557,5558647;159,6541498;1972,319612;1436,347125
1918,978319;420,6221488;3736,452009;670,156085;121,9573022;1921,334405;584,4316967;167,3280496;2067,441072;1504,385892
2005,759363;440,0180499;3908,378464;700,6473133;127,6123692;2009,675267;611,3075288;175,0019493;2162,562532;1572,42466
2092,540406;459,4139511;4080,30492;731,1385416;133,2674361;2098,016129;638,1833608;182,6758491;2257,683992;1640,463427
2179,32145;478,8098522;4252,231375;761,6297699;138,922503;2186,35699;665,0591929;190,3497488;2352,805452;1708,502195
2266,102494;498,2057533;4424,157831;792,1209982;144,5775699;2274,697852;691,935025;198,0236485;2447,926912;1776,540962
2352,883537;517,6016545;4596,084286;822,6122265;150,2326369;2363,038714;718,810857;205,6975483;2543,048372;1844,57973
2439,664581;536,9975556;4768,010742;853,1034548;155,8877038;2451,379576;745,6866891;213,371448;2638,169832;1912,618497
2526,445625;556,3934568;4939,937197;883,5946831;161,5427707;2539,720437;772,5625211;221,0453478;2733,291292;1980,657265
2613,226668;575,7893579;5111,863653;914,0859114;167,1978377;2628,061299;799,4383532;228,7192475;2828,412752;2048,696032
2700,007712;595,1852591;5283,790108;944,5771397;172,8529046;2716,402161;826,3141853;236,3931472;2923,534212;2116,734799
2505,744093;406,0397607;3282,534596;590,3658261;113,440054;1595,711298;493,6163359;142,1382547;1731,003194;1241,193359
2592,525137;425,4356618;3454,461052;620,8570544;119,0951209;1684,052159;520,4921679;149,8121545;1826,124654;1309,232127
2679,306181;444,831563;3626,387507;651,3482827;124,7501878;1772,393021;547,368;157,4860542;1921,246114;1377,270894
2766,087224;464,2274641;3798,313963;681,839511;130,4052548;1860,733883;574,243832;165,159954;2016,367574;1445,309661
2852,868268;483,6233652;3970,240418;712,3307393;136,0603217;1949,074745;601,1196641;172,8338537;2111,489034;1513,348429
2939,649312;503,0192664;4142,166874;742,8219676;141,7153886;2037,415606;627,9954961;180,5077534;2206,610494;1581,387196
3026,430355;522,4151675;4314,093329;773,3131959;147,3704556;2125,756468;654,8713282;188,1816532;2301,731954;1649,425964
3113,211399;541,8110687;4486,019785;803,8044242;153,0255225;2214,09733;681,7471603;195,8555529;2396,853414;1717,464731
3199,992443;561,2069698;4657,94624;834,2956526;158,6805894;2302,438192;708,6229923;203,5294527;2491,974874;1785,503499
3286,773486;580,602871;4829,872696;864,7868809;164,3356563;2390,779053;735,4988244;211,2033524;2587,096334;1853,542266
3373,55453;599,9987721;5001,799151;895,2781092;169,9907233;2479,119915;762,3746564;218,8772521;2682,217794;1921,581033
3460,335574;619,3946733;5173,725607;925,7693375;175,6457902;2567,460777;789,2504885;226,5511519;2777,339254;1989,619801
3547,116617;638,7905744;5345,652063;956,2605658;181,3008571;2655,801639;816,1263206;234,2250516;2872,460714;2057,658568
3633,897661;658,1864755;5517,578518;986,7517941;186,9559241;2744,142501;843,0021526;241,8989514;2967,582174;2125,697336
2983,404423;475,5330674;7913,693504;1271,520644;143,431189;4856,73178;1065,470664;370,3539836;3859,981232;4877,276927
3070,185466;494,9289685;8085,61996;1302,011872;149,0862559;4945,072642;1092,346496;378,0278834;3955,102692;4945,315695
3156,96651;514,3248697;8257,546415;1332,503101;154,7413229;5033,413503;1119,222328;385,7017831;4050,224152;5013,354462
3243,747554;533,7207708;8429,472871;1362,994329;160,3963898;5121,754365;1146,09816;393,3756828;4145,345612;5081,39323
3330,528597;553,116672;8601,399326;1393,485557;166,0514567;5210,095227;1172,973992;401,0495826;4240,467072;5149,431997
3417,309641;572,5125731;8773,325782;1423,976786;171,7065237;5298,436089;1199,849824;408,7234823;4335,588532;5217,470765
3504,090685;591,9084743;8945,252237;1454,468014;177,3615906;5386,77695;1226,725656;416,3973821;4430,709992;5285,509532
3590,871728;611,3043754;9117,178693;1484,959242;183,0166575;5475,117812;1253,601488;424,0712818;4525,831452;5353,5483
3677,652772;630,7002766;9289,105148;1515,450471;188,6717244;5563,458674;1280,47732;431,7451815;4620,952912;5421,587067
3764,433816;650,0961777;9461,031604;1545,941699;194,3267914;5651,799536;1307,353152;439,4190813;4716,074372;5489,625834
3851,214859;669,4920788;9632,958059;1576,432927;199,9818583;5740,140397;1334,228984;447,092981;4811,195832;5557,664602
3937,995903;688,88798;9804,884515;1606,924155;205,6369252;5828,481259;1361,104816;454,7668808;4906,317292;5625,703369
4024,776947;708,2838811;9976,81097;1637,415384;211,2919922;5916,822121;1387,980648;462,4407805;5001,438752;5693,742137
4111,55799;727,6797823;10148,73743;1667,906612;216,9470591;6005,162983;1414,85648;470,1146802;5096,560212;5761,780904
1714,721996;378,219733;3277,782489;594,9343403;107,4571212;1679,294561;515,5692855;147,0699351;1817,122431;1304,475008
1801,50304;397,6156342;3449,708944;625,4255686;113,1121881;1767,635423;542,4451175;154,7438348;1912,243892;1372,513775
1888,284083;417,0115353;3621,6354;655,9167969;118,767255;1855,976284;569,3209496;162,4177346;2007,365352;1440,552543
1975,065127;436,4074365;3793,561855;686,4080252;124,422322;1944,317146;596,1967816;170,0916343;2102,486812;1508,59131
2061,846171;455,8033376;3965,488311;716,8992536;130,0773889;2032,658008;623,0726137;177,7655341;2197,608272;1576,630078
2148,627214;475,1992388;4137,414766;747,3904819;135,7324558;2120,99887;649,9484458;185,4394338;2292,729732;1644,668845
2235,408258;494,5951399;4309,341222;777,8817102;141,3875228;2209,339732;676,8242778;193,1133335;2387,851192;1712,707613
2322,189302;513,9910411;4481,267677;808,3729385;147,0425897;2297,680593;703,7001099;200,7872333;2482,972652;1780,74638
2408,970345;533,3869422;4653,194133;838,8641668;152,6976566;2386,021455;730,5759419;208,461133;2578,094112;1848,785147
2495,751389;552,7828433;4825,120588;869,3553951;158,3527235;2474,362317;757,451774;216,1350328;2673,215572;1916,823915
2582,532433;572,1787445;4997,047044;899,8466234;164,0077905;2562,703179;784,3276061;223,8089325;2768,337032;1984,862682
2669,313476;591,5746456;5168,973499;930,3378517;169,6628574;2651,04404;811,2034381;231,4828322;2863,458492;2052,90145
2756,09452;610,9705468;5340,899955;960,82908;175,3179243;2739,384902;838,0792702;239,156732;2958,579952;2120,940217
2842,875564;630,3664479;5512,826411;991,3203083;180,9729913;2827,725764;864,9551022;246,8306317;3053,701412;2188,978985
1616,664125;346,5421499;3055,389444;548,5976649;98,70966236;1549,786299;477,3102834;139,2033922;1719,04269;1205,806595
1703,445169;365,938051;3227,3159;579,0888932;104,3647293;1638,127161;504,1861155;146,8772919;1814,16415;1273,845362
1790,226212;385,3339522;3399,242355;609,5801216;110,0197962;1726,468023;531,0619476;154,5511916;1909,28561;1341,884129
1877,007256;404,7298533;3571,168811;640,0713499;115,6748632;1814,808885;557,9377796;162,2250914;2004,40707;1409,922897
1963,7883;424,1257545;3743,095266;670,5625782;121,3299301;1903,149747;584,8136117;169,8989911;2099,52853;1477,961664
2050,569343;443,5216556;3915,021722;701,0538065;126,984997;1991,490608;611,6894437;177,5728909;2194,64999;1546,000432
2137,350387;462,9175567;4086,948177;731,5450348;132,6400639;2079,83147;638,5652758;185,2467906;2289,77145;1614,039199
2224,131431;482,3134579;4258,874633;762,0362631;138,2951309;2168,172332;665,4411078;192,9206903;2384,89291;1682,077967
2310,912474;501,709359;4430,801089;792,5274914;143,9501978;2256,513194;692,3169399;200,5945901;2480,01437;1750,116734
2397,693518;521,1052602;4602,727544;823,0187197;149,6052647;2344,854055;719,192772;208,2684898;2575,13583;1818,155501
2484,474562;540,5011613;4774,654;853,509948;155,2603317;2433,194917;746,068604;215,9423896;2670,25729;1886,194269
2571,255605;559,8970625;4946,580455;884,0011763;160,9153986;2521,535779;772,9444361;223,6162893;2765,37875;1954,233036
2658,036649;579,2929636;5118,506911;914,4924046;166,5704655;2609,876641;799,8202681;231,290189;2860,50021;2022,271804
2744,817693;598,6888648;5290,433366;944,9836329;172,2255325;2698,217503;826,6961002;238,9640888;2955,621671;2090,310571
2025,621314;373,6734338;3610,852672;628,4432791;109,4038625;1690,090064;589,9148661;177,140342;2067,470086;1595,559312
2112,402357;393,0693349;3782,779128;658,9345074;115,0589294;1778,430925;616,7906982;184,8142418;2162,591546;1663,598079
2199,183401;412,4652361;3954,705583;689,4257357;120,7139964;1866,771787;643,6665302;192,4881415;2257,713007;1731,636846
2285,964445;431,8611372;4126,632039;719,916964;126,3690633;1955,112649;670,5423623;200,1620412;2352,834467;1799,675614
2372,745488;451,2570384;4298,558494;750,4081923;132,0241302;2043,453511;697,4181944;207,835941;2447,955927;1867,714381
2459,526532;470,6529395;4470,48495;780,8994206;137,6791971;2131,794373;724,2940264;215,5098407;2543,077387;1935,753149
2546,307576;490,0488407;4642,411405;811,3906489;143,3342641;2220,135234;751,1698585;223,1837405;2638,198847;2003,791916
2633,088619;509,4447418;4814,337861;841,8818772;148,989331;2308,476096;778,0456905;230,8576402;2733,320307;2071,830684
2719,869663;528,8406429;4986,264316;872,3731056;154,6443979;2396,816958;804,9215226;238,53154;2828,441767;2139,869451
2806,650707;548,2365441;5158,190772;902,8643339;160,2994649;2485,15782;831,7973547;246,2054397;2923,563227;2207,908219
2893,43175;567,6324452;5330,117227;933,3555622;165,9545318;2573,498681;858,6731867;253,8793394;3018,684687;2275,946986
2980,212794;587,0283464;5502,043683;963,8467905;171,6095987;2661,839543;885,5490188;261,5532392;3113,806147;2343,985753
3066,993838;606,4242475;5673,970138;994,3380188;177,2646657;2750,180405;912,4248508;269,2271389;3208,927607;2412,024521
3153,774881;625,8201487;5845,896594;1024,829247;182,9197326;2838,521267;939,3006829;276,9010387;3304,049067;2480,063288
2028,616281;381,2987869;3259,507532;582,4775263;109,4301507;1659,556649;503,7225024;145,1240733;1777,945898;1273,814582
2115,397324;400,6946881;3431,433988;612,9687547;115,0852177;1747,89751;530,5983344;152,797973;1873,067358;1341,853349
2202,178368;420,0905892;3603,360444;643,459983;120,7402846;1836,238372;557,4741665;160,4718728;1968,188818;1409,892117
2288,959412;439,4864903;3775,286899;673,9512113;126,3953515;1924,579234;584,3499985;168,1457725;2063,310278;1477,930884
2375,740455;458,8823915;3947,213355;704,4424396;132,0504185;2012,920096;611,2258306;175,8196723;2158,431738;1545,969652
2462,521499;478,2782926;4119,13981;734,9336679;137,7054854;2101,260957;638,1016627;183,493572;2253,553198;1614,008419
2549,302543;497,6741938;4291,066266;765,4248962;143,3605523;2189,601819;664,9774947;191,1674717;2348,674658;1682,047187
2636,083586;517,0700949;4462,992721;795,9161245;149,0156193;2277,942681;691,8533268;198,8413715;2443,796118;1750,085954
2722,86463;536,4659961;4634,919177;826,4073528;154,6706862;2366,283543;718,7291588;206,5152712;2538,917579;1818,124722
2809,645674;555,8618972;4806,845632;856,8985811;160,3257531;2454,624405;745,6049909;214,189171;2634,039039;1886,163489
2896,426717;575,2577984;4978,772088;887,3898094;165,98082;2542,965266;772,480823;221,8630707;2729,160499;1954,202256
2983,207761;594,6536995;5150,698543;917,8810377;171,635887;2631,306128;799,356655;229,5369704;2824,281959;2022,241024
3069,988805;614,0496006;5322,624999;948,372266;177,2909539;2719,64699;826,2324871;237,2108702;2919,403419;2090,279791
3156,769848;633,4455018;5494,551454;978,8634943;182,9460208;2807,987852;853,1083191;244,8847699;3014,524879;2158,318559
3917,681333;817,5861147;18209,02597;2081,689854;491,2073479;4097,965007;1709,703369;735,4236593;7021,67356;5221,203636
4004,462376;836,9820158;18380,95243;2112,181082;496,8624148;4186,305868;1736,579201;743,0975591;7116,79502;5289,242404
4091,24342;856,377917;18552,87888;2142,672311;502,5174817;4274,64673;1763,455033;750,7714588;7211,91648;5357,281171
4178,024464;875,7738181;18724,80534;2173,163539;508,1725487;4362,987592;1790,330865;758,4453586;7307,03794;5425,319938
4264,805507;895,1697193;18896,7318;2203,654767;513,8276156;4451,328454;1817,206697;766,1192583;7402,1594;5493,358706
4351,586551;914,5656204;19068,65825;2234,145996;519,4826825;4539,669316;1844,082529;773,793158;7497,28086;5561,397473
4438,367595;933,9615216;19240,58471;2264,637224;525,1377495;4628,010177;1870,958361;781,4670578;7592,40232;5629,436241
4525,148638;953,3574227;19412,51116;2295,128452;530,7928164;4716,351039;1897,834193;789,1409575;7687,52378;5697,475008
4611,929682;972,7533238;19584,43762;2325,619681;536,4478833;4804,691901;1924,710025;796,8148573;7782,64524;5765,513776
4698,710726;992,149225;19756,36407;2356,110909;542,1029503;4893,032763;1951,585857;804,488757;7877,7667;5833,552543
4785,491769;1011,545126;19928,29053;2386,602137;547,7580172;4981,373624;1978,461689;812,1626567;7972,88816;5901,591311
4872,272813;1030,941027;20100,21698;2417,093366;553,4130841;5069,714486;2005,337521;819,8365565;8068,00962;5969,630078
4959,053857;1050,336928;20272,14344;2447,584594;559,0681511;5158,055348;2032,213353;827,5104562;8163,13108;6037,668845
5045,8349;1069,73283;20444,0699;2478,075822;564,723218;5246,39621;2059,089185;835,184356;8258,252541;6105,707613
1765,452946;361,9844173;3132,097927;557,5359409;102,8023316;1595,253549;488,1238212;140,1729728;1723,924299;1236,24495
1852,23399;381,3803185;3304,024382;588,0271692;108,4573986;1683,59441;514,9996533;147,8468725;1819,045759;1304,283718
1939,015033;400,7762196;3475,950838;618,5183975;114,1124655;1771,935272;541,8754853;155,5207722;1914,167219;1372,322485
2025,796077;420,1721208;3647,877293;649,0096258;119,7675324;1860,276134;568,7513174;163,194672;2009,288679;1440,361253
2112,577121;439,5680219;3819,803749;679,5008541;125,4225993;1948,616996;595,6271494;170,8685717;2104,410139;1508,40002
2199,358164;458,9639231;3991,730204;709,9920824;131,0776663;2036,957857;622,5029815;178,5424715;2199,531599;1576,438788
2286,139208;478,3598242;4163,65666;740,4833107;136,7327332;2125,298719;649,3788136;186,2163712;2294,653059;1644,477555
2372,920252;497,7557254;4335,583115;770,974539;142,3878001;2213,639581;676,2546456;193,8902709;2389,774519;1712,516322
2459,701295;517,1516265;4507,509571;801,4657673;148,0428671;2301,980443;703,1304777;201,5641707;2484,895979;1780,55509
2546,482339;536,5475276;4679,436026;831,9569956;153,697934;2390,321305;730,0063097;209,2380704;2580,017439;1848,593857
2633,263383;555,9434288;4851,362482;862,448224;159,3530009;2478,662166;756,8821418;216,9119702;2675,138899;1916,632625
2720,044426;575,3393299;5023,288938;892,9394523;165,0080679;2567,003028;783,7579739;224,5858699;2770,260359;1984,671392
2806,82547;594,7352311;5195,215393;923,4306806;170,6631348;2655,34389;810,6338059;232,2597696;2865,381819;2052,71016
2893,606514;614,1311322;5367,141849;953,9219089;176,3182017;2743,684752;837,509638;239,9336694;2960,503279;2120,748927
